,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,medium,medium,medium,high,medium,high,high,high,low,medium,low,6
1,low,medium,medium,low,high,low,medium,medium,high,medium,low,6
2,high,medium,high,medium,high,medium,low,medium,high,medium,medium,6
3,high,low,medium,high,high,high,high,high,medium,low,medium,6
4,high,low,medium,high,high,high,high,high,medium,low,medium,6
5,high,medium,high,medium,high,medium,low,medium,high,medium,medium,6
6,low,high,low,medium,medium,medium,medium,medium,medium,medium,low,6
7,medium,medium,medium,high,medium,high,high,high,low,medium,low,6
8,low,medium,medium,low,high,low,medium,medium,high,medium,low,6
9,high,low,high,low,medium,medium,medium,medium,medium,medium,medium,6
10,high,medium,high,low,low,low,low,low,low,high,high,5
11,high,low,high,medium,low,low,low,medium,medium,high,low,5
12,high,low,high,low,medium,low,low,low,medium,high,medium,5
13,medium,low,high,low,medium,high,medium,low,high,medium,high,7
14,high,high,high,high,medium,medium,high,high,low,high,low,5
15,medium,low,high,low,low,medium,low,low,high,high,high,7
16,low,high,low,low,medium,medium,low,medium,medium,low,low,6
17,low,high,high,low,low,medium,low,low,high,low,high,8
18,high,high,high,low,low,low,high,low,low,high,high,6
19,low,high,low,medium,medium,medium,medium,high,medium,medium,low,5
20,low,high,high,low,low,medium,low,low,high,low,high,8
21,low,high,high,medium,low,low,low,low,medium,low,medium,7
22,medium,medium,high,low,high,medium,medium,medium,high,medium,medium,8
23,high,high,low,low,high,low,high,medium,low,medium,low,5
24,medium,medium,high,low,high,low,medium,medium,high,medium,medium,6
25,medium,medium,medium,high,medium,high,high,high,high,medium,medium,6
26,medium,medium,medium,low,high,medium,medium,medium,high,medium,medium,6
27,medium,medium,high,high,high,medium,medium,high,high,high,medium,6
28,high,medium,high,low,medium,low,medium,low,medium,medium,high,6
29,high,high,medium,low,low,medium,low,low,low,high,high,7
30,high,medium,high,high,medium,low,medium,high,medium,high,medium,6
31,high,low,medium,low,medium,low,low,medium,high,low,medium,6
32,high,medium,medium,low,high,medium,low,low,medium,medium,medium,6
33,low,low,medium,low,medium,high,low,medium,high,medium,low,6
34,low,medium,low,high,medium,low,high,high,high,low,medium,5
35,high,medium,high,low,high,low,medium,low,medium,low,high,5
