iter	Passed	Remaining
0	92	92835
1	182	91073
2	274	91147
3	367	91498
4	458	91298
5	544	90156
6	618	87742
7	696	86424
8	773	85215
9	860	85164
10	946	85077
11	1041	85733
12	1126	85557
13	1246	87823
14	1369	89929
15	1447	89014
16	1529	88453
17	1609	87823
18	1692	87409
19	1763	86431
20	1851	86295
21	1936	86083
22	2008	85296
23	2094	85162
24	2174	84822
25	2261	84730
26	2341	84389
27	2439	84689
28	2524	84542
29	2604	84224
30	2690	84101
31	2765	83653
32	2855	83675
33	2922	83024
34	3002	82778
35	3082	82531
36	3165	82396
37	3267	82720
38	3360	82803
39	3438	82522
40	3518	82304
41	3597	82067
42	3693	82191
43	3776	82052
44	3865	82027
45	3947	81867
46	4022	81552
47	4106	81451
48	4201	81552
49	4286	81435
50	4365	81239
51	4446	81060
52	4523	80825
53	4609	80757
54	4685	80507
55	4760	80243
56	4804	79486
57	4849	78770
58	4928	78603
59	5010	78496
60	5094	78420
61	5179	78362
62	5258	78215
63	5348	78225
64	5440	78260
65	5539	78394
66	5625	78336
67	5715	78331
68	5795	78192
69	5862	77884
70	5942	77752
71	6024	77644
72	6097	77435
73	6170	77217
74	6246	77034
75	6328	76942
76	6410	76846
77	6503	76871
78	6588	76811
79	6675	76763
80	6757	76668
81	6840	76575
82	6922	76479
83	7007	76414
84	7092	76343
85	7183	76345
86	7251	76098
87	7334	76009
88	7406	75810
89	7490	75735
90	7573	75648
91	7658	75588
92	7762	75701
93	7858	75744
94	7929	75537
95	7994	75278
96	8060	75041
97	8151	75031
98	8207	74693
99	8289	74609
100	8363	74444
101	8448	74382
102	8534	74323
103	8619	74258
104	8708	74225
105	8797	74200
106	8879	74104
107	8956	73974
108	9043	73920
109	9127	73849
110	9208	73754
111	9292	73675
112	9369	73544
113	9430	73290
114	9512	73203
115	9585	73047
116	9670	72981
117	9741	72811
118	9830	72779
119	9926	72793
120	10015	72757
121	10101	72695
122	10188	72644
123	10272	72572
124	10338	72370
125	10413	72235
126	10493	72129
127	10575	72042
128	10659	71970
129	10734	71841
130	10821	71786
131	10908	71734
132	10992	71655
133	11070	71544
134	11141	71386
135	11227	71329
136	11296	71157
137	11381	71090
138	11464	71011
139	11551	70961
140	11643	70933
141	11718	70805
142	11803	70740
143	11890	70682
144	11984	70668
145	12066	70580
146	12170	70621
147	12272	70652
148	12358	70583
149	12446	70529
150	12524	70417
151	12603	70315
152	12690	70256
153	12775	70184
154	12837	69983
155	12925	69932
156	13008	69847
157	13099	69806
158	13186	69748
159	13256	69597
160	13337	69504
161	13425	69447
162	13512	69384
163	13575	69202
164	13665	69154
165	13728	68974
166	13823	68950
167	13894	68811
168	13984	68763
169	14069	68690
170	14155	68625
171	14245	68579
172	14338	68542
173	14436	68531
174	14524	68474
175	14601	68360
176	14680	68259
177	14757	68148
178	14848	68102
179	14921	67976
180	15000	67874
181	15088	67815
182	15176	67755
183	15268	67711
184	15348	67615
185	15436	67555
186	15515	67453
187	15602	67388
188	15685	67308
189	15772	67238
190	15857	67164
191	15935	67061
192	16023	66997
193	16103	66902
194	16172	66762
195	16248	66653
196	16332	66575
197	16420	66510
198	16510	66455
199	16609	66439
200	16701	66389
201	16787	66318
202	16879	66268
203	16960	66180
204	17051	66124
205	17137	66052
206	17223	65982
207	17313	65926
208	17405	65875
209	17488	65791
210	17568	65693
211	17652	65612
212	17736	65534
213	17827	65478
214	17932	65474
215	18018	65399
216	18097	65300
217	18177	65206
218	18270	65158
219	18355	65078
220	18435	64982
221	18520	64905
222	18600	64808
223	18689	64745
224	18770	64654
225	18857	64583
226	18933	64472
227	19015	64385
228	19094	64288
229	19179	64209
230	19255	64101
231	19332	63998
232	19420	63929
233	19504	63848
234	19581	63742
235	19661	63649
236	19745	63569
237	19827	63479
238	19912	63403
239	19994	63317
240	20076	63228
241	20157	63138
242	20239	63049
243	20317	62950
244	20402	62872
245	20489	62802
246	20567	62700
247	20659	62644
248	20747	62576
249	20824	62473
250	20913	62407
251	21014	62375
252	21109	62326
253	21193	62245
254	21287	62192
255	21373	62117
256	21453	62023
257	21540	61950
258	21629	61881
259	21706	61781
260	21789	61696
261	21873	61611
262	21953	61519
263	22039	61443
264	22116	61341
265	22196	61248
266	22264	61123
267	22343	61026
268	22432	60959
269	22521	60890
270	22604	60805
271	22690	60730
272	22778	60658
273	22868	60592
274	22947	60498
275	23027	60405
276	23123	60354
277	23230	60331
278	23307	60230
279	23384	60131
280	23468	60050
281	23562	59991
282	23636	59885
283	23717	59794
284	23799	59706
285	23888	59636
286	23972	59555
287	24049	59456
288	24129	59363
289	24217	59291
290	24304	59215
291	24387	59132
292	24478	59064
293	24569	59001
294	24657	58926
295	24738	58837
296	24813	58733
297	24891	58637
298	24972	58546
299	25058	58470
300	25147	58398
301	25226	58305
302	25301	58201
303	25395	58143
304	25482	58067
305	25564	57980
306	25642	57883
307	25723	57793
308	25810	57717
309	25896	57639
310	25979	57555
311	26060	57466
312	26144	57384
313	26228	57302
314	26312	57219
315	26386	57114
316	26471	57035
317	26555	56952
318	26643	56879
319	26724	56789
320	26807	56705
321	26888	56615
322	26965	56518
323	27044	56426
324	27119	56325
325	27204	56244
326	27278	56140
327	27353	56042
328	27438	55962
329	27540	55915
330	27640	55865
331	27732	55799
332	27806	55696
333	27891	55615
334	27971	55525
335	28057	55447
336	28134	55350
337	28209	55250
338	28293	55168
339	28374	55079
340	28460	55001
341	28548	54927
342	28634	54847
343	28719	54767
344	28842	54759
345	28931	54685
346	29019	54609
347	29088	54498
348	29171	54413
349	29260	54340
350	29324	54220
351	29387	54099
352	29482	54037
353	29570	53962
354	29656	53882
355	29744	53806
356	29830	53728
357	29925	53664
358	30008	53580
359	30098	53507
360	30187	53433
361	30260	53331
362	30338	53238
363	30427	53165
364	30506	53073
365	30584	52979
366	30672	52904
367	30763	52832
368	30847	52749
369	30938	52678
370	31019	52590
371	31098	52499
372	31180	52414
373	31265	52332
374	31345	52242
375	31431	52162
376	31521	52090
377	31607	52010
378	31694	51932
379	31782	51855
380	31866	51773
381	31962	51708
382	32058	51644
383	32152	51577
384	32237	51497
385	32324	51418
386	32407	51332
387	32488	51245
388	32571	51160
389	32652	51071
390	32741	50996
391	32822	50908
392	32906	50825
393	32997	50753
394	33083	50671
395	33166	50587
396	33245	50496
397	33337	50425
398	33417	50335
399	33500	50250
400	33584	50167
401	33667	50083
402	33756	50006
403	33842	49925
404	33934	49853
405	34008	49755
406	34095	49677
407	34198	49621
408	34303	49568
409	34375	49467
410	34465	49391
411	34540	49295
412	34629	49219
413	34718	49142
414	34784	49033
415	34852	48928
416	34935	48842
417	35022	48763
418	35105	48678
419	35197	48605
420	35285	48527
421	35371	48446
422	35454	48361
423	35543	48285
424	35628	48202
425	35710	48117
426	35791	48029
427	35879	47951
428	35970	47876
429	36054	47793
430	36134	47703
431	36219	47622
432	36297	47530
433	36384	47451
434	36474	47375
435	36568	47304
436	36648	47215
437	36735	47135
438	36826	47060
439	36918	46987
440	37001	46902
441	37093	46827
442	37184	46753
443	37270	46671
444	37359	46594
445	37436	46501
446	37524	46422
447	37605	46334
448	37690	46252
449	37779	46175
450	37859	46086
451	37938	45996
452	38022	45912
453	38107	45829
454	38197	45753
455	38277	45664
456	38364	45584
457	38444	45495
458	38518	45399
459	38613	45328
460	38707	45256
461	38793	45175
462	38875	45088
463	38960	45006
464	39052	44930
465	39133	44843
466	39221	44765
467	39305	44681
468	39386	44593
469	39468	44507
470	39553	44424
471	39626	44328
472	39711	44244
473	39782	44147
474	39865	44061
475	39940	43968
476	40027	43887
477	40109	43801
478	40185	43708
479	40274	43630
480	40359	43548
481	40445	43466
482	40526	43379
483	40596	43280
484	40652	43167
485	40744	43091
486	40836	43016
487	40933	42946
488	41021	42866
489	41106	42784
490	41186	42696
491	41267	42609
492	41351	42525
493	41435	42441
494	41523	42362
495	41612	42284
496	41696	42199
497	41767	42103
498	41844	42012
499	41925	41925
