iter	Logloss
0	0.4020445045
1	0.2936947051
2	0.2440497918
3	0.2159622387
4	0.2055520762
5	0.1934416593
6	0.1873694833
7	0.1817683051
8	0.1778603672
9	0.1757093736
10	0.1720807856
11	0.1696862322
12	0.1681627342
13	0.1664428484
14	0.1649028835
15	0.1640224268
16	0.1626736084
17	0.1612026243
18	0.1600567569
19	0.1590465991
20	0.1584314217
21	0.1578346533
22	0.1571400518
23	0.1565902748
24	0.1562163859
25	0.1554832129
26	0.1551023718
27	0.1548243839
28	0.1544300064
29	0.1541081875
30	0.1536777298
31	0.153311216
32	0.1530238057
33	0.1527365651
34	0.1525106847
35	0.1521821047
36	0.1520216013
37	0.1519101114
38	0.1517831879
39	0.1516944999
40	0.1515098339
41	0.1513952951
42	0.1512539639
43	0.1511622718
44	0.1509155495
45	0.15083993
46	0.1505080865
47	0.1504374002
48	0.1503214683
49	0.1502527577
50	0.1501694012
51	0.1500615322
52	0.1500593146
53	0.1499858218
54	0.1499256953
55	0.1499000119
56	0.1498287514
57	0.1496403632
58	0.1496136829
59	0.149544574
60	0.1495215564
61	0.1494285524
62	0.1493640313
63	0.1493030295
64	0.1491675299
65	0.1490991962
66	0.1490640468
67	0.149059753
68	0.1488594654
69	0.1488568974
70	0.1488191163
71	0.1487644078
72	0.1487237793
73	0.1487225157
74	0.1486826832
75	0.1486819638
76	0.1486276989
77	0.1485995943
78	0.1485293506
79	0.1484938166
80	0.1484706932
81	0.1484613032
82	0.1484590449
83	0.1484423197
84	0.1484227984
85	0.148396974
86	0.1483719338
87	0.1483267702
88	0.1482770886
89	0.1482741451
90	0.148270058
91	0.148231052
92	0.148132493
93	0.1480937387
94	0.1480008471
95	0.1479455101
96	0.1479060101
97	0.1478609365
98	0.1478582097
99	0.1477963779
100	0.1477536833
101	0.1477238306
102	0.147624853
103	0.1475877272
104	0.1475822147
105	0.1475620023
106	0.1475424602
107	0.1475291882
108	0.147487488
109	0.1474862516
110	0.1474726678
111	0.1474477535
112	0.1474461554
113	0.1474058447
114	0.1473894157
115	0.1473205089
116	0.1472928415
117	0.1472723208
118	0.1472570595
119	0.1472252663
120	0.1471886488
121	0.1471692812
122	0.1471469811
123	0.1471229266
124	0.1471193374
125	0.1470517599
126	0.1470054639
127	0.1469774334
128	0.1469676412
129	0.1469317141
130	0.1468933801
131	0.146852129
132	0.1467919333
133	0.1467907947
134	0.1467438238
135	0.1466990968
136	0.1466954871
137	0.1466556553
138	0.1466338849
139	0.1465998584
140	0.1465762546
141	0.1465677142
142	0.146558659
143	0.1465493486
144	0.146519965
145	0.1465159262
146	0.1465132419
147	0.1464982363
148	0.146483726
149	0.1464811998
150	0.1464429698
151	0.1464396413
152	0.1464322167
153	0.1464116502
154	0.1464058904
155	0.1463943729
156	0.1463863593
157	0.1463671944
158	0.1463339976
159	0.1462990229
160	0.1462471368
161	0.1462151999
162	0.1461858648
163	0.1461815599
164	0.1461622974
165	0.146142953
166	0.1461314653
167	0.146100368
168	0.1460894739
169	0.1460745078
170	0.146036541
171	0.1460064032
172	0.1459791869
173	0.1459363095
174	0.1459076335
175	0.1458934022
176	0.1458561025
177	0.1458198146
178	0.1457863613
179	0.1457724947
180	0.1457322923
181	0.1456984883
182	0.1456884151
183	0.1456477428
184	0.1456440018
185	0.1456187222
186	0.1455775281
187	0.1455735022
188	0.1455388229
189	0.1455230372
190	0.145498681
191	0.145491932
192	0.1454886601
193	0.1454455714
194	0.1454089622
195	0.1454041181
196	0.1453987242
197	0.1453848812
198	0.1453613689
199	0.1453521734
