iter	Passed	Remaining
0	161	160905
1	295	147298
2	426	141604
3	576	143512
4	783	155829
5	912	151221
6	1027	145719
7	1150	142696
8	1281	141093
9	1402	138837
10	1523	136993
11	1657	136458
12	1788	135773
13	1927	135737
14	2065	135613
15	2177	133895
16	2291	132487
17	2437	132979
18	2556	132019
19	2682	131462
20	2803	130709
21	2924	130009
22	3034	128885
23	3154	128273
24	3289	128294
25	3435	128680
26	3564	128456
27	3702	128532
28	3822	127978
29	3934	127218
30	4044	126424
31	4171	126202
32	4267	125051
33	4377	124379
34	4478	123483
35	4613	123526
36	4744	123481
37	4863	123127
38	4980	122722
39	5095	122290
40	5208	121839
41	5313	121194
42	5438	121030
43	5552	120629
44	5659	120114
45	5769	119647
46	5881	119250
47	5983	118680
48	6093	118265
49	6208	117961
50	6315	117526
51	6419	117030
52	6537	116813
53	6649	116497
54	6768	116301
55	6897	116267
56	7003	115862
57	7117	115595
58	7223	115210
59	7336	114935
60	7443	114588
61	7566	114472
62	7674	114148
63	7785	113863
64	7896	113590
65	8000	113220
66	8106	112886
67	8206	112478
68	8348	112642
69	8499	112926
70	8630	112928
71	8752	112807
72	8875	112705
73	9032	113024
74	9148	112826
75	9260	112587
76	9366	112273
77	9487	112148
78	9597	111884
79	9717	111748
80	9834	111576
81	9948	111376
82	10059	111141
83	10176	110969
84	10279	110654
85	10387	110394
86	10503	110227
87	10601	109865
88	10724	109774
89	10839	109600
90	10956	109443
91	11076	109321
92	11232	109544
93	11345	109347
94	11445	109028
95	11556	108827
96	11669	108635
97	11783	108457
98	11901	108315
99	12032	108290
100	12151	108162
101	12253	107880
102	12355	107598
103	12467	107408
104	12597	107376
105	12707	107176
106	12810	106914
107	12904	106580
108	13010	106351
109	13114	106111
110	13228	105943
111	13361	105937
112	13476	105787
113	13596	105668
114	13722	105602
115	13841	105481
116	13967	105412
117	14062	105114
118	14172	104922
119	14277	104699
120	14387	104515
121	14502	104370
122	14601	104110
123	14712	103934
124	14802	103620
125	14916	103465
126	15033	103342
127	15152	103223
128	15255	103002
129	15360	102794
130	15488	102745
131	15602	102599
132	15710	102415
133	15821	102249
134	15929	102068
135	16044	101932
136	16150	101738
137	16253	101526
138	16355	101311
139	16472	101187
140	16586	101049
141	16710	100968
142	16828	100854
143	16945	100732
144	17041	100488
145	17155	100347
146	17275	100245
147	17375	100024
148	17484	99862
149	17589	99672
150	17705	99550
151	17817	99403
152	17942	99327
153	18060	99214
154	18153	98965
155	18270	98848
156	18376	98673
157	18483	98500
158	18595	98356
159	18684	98095
160	18804	97992
161	18936	97953
162	19067	97911
163	19192	97832
164	19310	97721
165	19406	97499
166	19517	97351
167	19615	97141
168	19741	97072
169	19883	97077
170	20009	97006
171	20135	96930
172	20239	96749
173	20361	96660
174	20505	96667
175	20612	96505
176	20710	96299
177	20826	96175
178	20929	95993
179	21030	95807
180	21128	95602
181	21234	95438
182	21352	95329
183	21471	95222
184	21588	95104
185	21697	94956
186	21782	94701
187	21900	94593
188	21991	94364
189	22102	94225
190	22271	94332
191	22383	94196
192	22473	93969
193	22584	93829
194	22698	93703
195	22805	93548
196	22911	93389
197	23019	93239
198	23106	93006
199	23216	92867
200	23315	92680
201	23415	92502
202	23531	92386
203	23648	92274
204	23755	92125
205	23877	92032
206	23976	91853
207	24068	91644
208	24191	91556
209	24316	91476
210	24441	91395
211	24556	91274
212	24653	91091
213	24769	90975
214	24889	90875
215	25000	90742
216	25111	90611
217	25219	90466
218	25332	90339
219	25449	90230
220	25558	90090
221	25680	89996
222	25780	89828
223	25880	89658
224	25981	89491
225	26084	89334
226	26188	89177
227	26294	89032
228	26407	88908
229	26546	88873
230	26669	88783
231	26782	88660
232	26889	88516
233	26996	88372
234	27102	88227
235	27198	88049
236	27300	87890
237	27411	87763
238	27515	87613
239	27631	87500
240	27728	87329
241	27828	87164
242	27937	87033
243	28057	86930
244	28154	86762
245	28260	86618
246	28358	86454
247	28473	86338
248	28573	86179
249	28690	86071
250	28816	85990
251	28926	85860
252	29047	85765
253	29160	85644
254	29259	85483
255	29342	85276
256	29455	85156
257	29550	84986
258	29660	84857
259	29784	84770
260	29887	84623
261	29991	84479
262	30108	84372
263	30222	84257
264	30323	84103
265	30427	83962
266	30542	83849
267	30667	83762
268	30775	83630
269	30901	83548
270	31021	83449
271	31125	83306
272	31239	83191
273	31367	83113
274	31475	82979
275	31579	82838
276	31691	82719
277	31797	82580
278	31912	82468
279	32016	82328
280	32112	82167
281	32221	82038
282	32316	81875
283	32451	81814
284	32575	81725
285	32703	81644
286	32817	81529
287	32922	81390
288	33054	81320
289	33160	81185
290	33281	81086
291	33387	80953
292	33499	80834
293	33629	80755
294	33751	80659
295	33862	80537
296	33977	80424
297	34092	80311
298	34208	80201
299	34308	80052
300	34426	79947
301	34529	79806
302	34650	79707
303	34792	79655
304	34892	79509
305	35002	79384
306	35112	79260
307	35221	79134
308	35348	79048
309	35467	78943
310	35579	78824
311	35693	78709
312	35800	78578
313	35921	78477
314	36042	78378
315	36149	78247
316	36244	78091
317	36344	77947
318	36455	77825
319	36596	77767
320	36706	77644
321	36818	77525
322	36932	77408
323	37044	77289
324	37148	77154
325	37254	77023
326	37349	76869
327	37494	76817
328	37620	76728
329	37725	76595
330	37853	76507
331	37963	76384
332	38066	76248
333	38176	76125
334	38283	75996
335	38375	75837
336	38482	75708
337	38596	75595
338	38715	75490
339	38831	75378
340	38937	75248
341	39043	75119
342	39155	75000
343	39274	74895
